aux_scale_factor,e2e_latency,wsc_slack_ratio,temporal_rda_ratio,lateness_mode,filename,num_cores,file_suffix,confidence,ddl_percentile,rt_percentile
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,310,var_0.2,90.0,0.0819711956507499,0.090594536861875
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,310,var_0.2,95.0,0.083179487536052,0.0947619573681249
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,310,var_0.2,99.0,0.0858018143104645,0.097792051617675
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,310,var_0.2,99.9,0.0871413915371714,0.0984226894338681
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,310,var_0.2,99.99,0.0872753492598421,0.0984941409130117
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,315,var_0.2,90.0,0.0823389723689166,0.0940012127089374
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,315,var_0.2,95.0,0.0835276184022708,0.097943312300375
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,315,var_0.2,99.0,0.0861182145431124,0.0990890844885687
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,315,var_0.2,99.9,0.0864843100642487,0.0996855958342356
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,315,var_0.2,99.99,0.0865209196163623,0.099764771797611
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,320,var_0.2,90.0,0.0790455037101458,0.0841875442444375
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,320,var_0.2,95.0,0.0809555390299479,0.0884965303397499
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,320,var_0.2,99.0,0.0859242536875645,0.0902573784300812
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,320,var_0.2,99.9,0.0871941485040689,0.0904797057003093
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,320,var_0.2,99.99,0.0873211379857193,0.0904849944285308
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,340,var_0.2,90.0,0.0820493717748333,0.0717307263389999
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,340,var_0.2,95.0,0.0854296272198541,0.0771217039331875
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,340,var_0.2,99.0,0.0882920332054978,0.0821979667275437
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,340,var_0.2,99.9,0.0886662681861122,0.0823979810531249
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,340,var_0.2,99.99,0.0887036916841736,0.0823979810531249
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,360,var_0.2,90.0,0.0801713107391666,0.054547456286125
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,360,var_0.2,95.0,0.0832107681826041,0.0593745766141249
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,360,var_0.2,99.0,0.0865243647036979,0.062171156251275
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,360,var_0.2,99.9,0.0881450387011823,0.062377622651875
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,360,var_0.2,99.99,0.0883071061009307,0.062377622651875
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,380,var_0.2,90.0,0.0776997815585833,0.0405662839460624
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,380,var_0.2,95.0,0.0819123714337604,0.0426710349172812
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,380,var_0.2,99.0,0.0862823725571145,0.0499698520088874
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,380,var_0.2,99.9,0.0890189801868364,0.0504590843483905
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,380,var_0.2,99.99,0.0892926409498086,0.050507362374839
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,400,var_0.2,90.0,0.0732670846341249,0.0275098318559999
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,400,var_0.2,95.0,0.0772498027397082,0.029009831225
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,400,var_0.2,99.0,0.0828592731313083,0.03047424786645
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,400,var_0.2,99.9,0.0861758381393841,0.0308365181103424
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,400,var_0.2,99.99,0.0865434784761883,0.0308679206822217
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,405,var_0.2,90.0,0.071080361312375,0.0270497641394999
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,405,var_0.2,95.0,0.0751713554962916,0.0275457523457499
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,405,var_0.2,99.0,0.0792681073979833,0.0281024709021125
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,405,var_0.2,99.9,0.081979235766105,0.0282906619764949
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,405,var_0.2,99.99,0.0822885848091104,0.0283040924051494
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,410,var_0.2,90.0,0.0644769413281249,0.0247351154206249
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,410,var_0.2,95.0,0.0677679143309166,0.0258993880024687
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,410,var_0.2,99.0,0.0734914603971083,0.0265167686524999
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,410,var_0.2,99.9,0.0770263756276792,0.0270697114816068
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,410,var_0.2,99.99,0.0773908829568928,0.0271527496870981
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,415,var_0.2,90.0,0.0630676187416666,0.0240735754941249
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,415,var_0.2,95.0,0.0664435537393749,0.0253613970793749
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,415,var_0.2,99.0,0.0724251948467166,0.026160573855
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,415,var_0.2,99.9,0.0759847406327916,0.0265687058809424
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,415,var_0.2,99.99,0.076341415443029,0.0266299971198442
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,420,var_0.2,90.0,0.0556216515587916,0.0241501834741249
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,420,var_0.2,95.0,0.0595026080220416,0.0253045408306562
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,420,var_0.2,99.0,0.0626738228586749,0.0262766914424999
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,420,var_0.2,99.9,0.0634262091086783,0.0266462460617606
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,420,var_0.2,99.99,0.0634990397163053,0.0267017439374885
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,440,var_0.2,90.0,0.0482732378581249,0.0203876894864375
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,440,var_0.2,95.0,0.0509519686924583,0.0239002589632499
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,440,var_0.2,99.0,0.05413351946525,0.0248956827986812
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,440,var_0.2,99.9,0.0567630332004792,0.0249262571362499
6,0.09,0.75,0.05,,glb_dyn_e2e_trace,440,var_0.2,99.99,0.0570599211262353,0.0249262571362499
6,0.09,0.75,0.05,,dynamic_e2e_trace,310,var_0.2,90.0,0.089803881365625,0.09789591590075
6,0.09,0.75,0.05,,dynamic_e2e_trace,310,var_0.2,95.0,0.0898110441562499,0.0989936392992187
6,0.09,0.75,0.05,,dynamic_e2e_trace,310,var_0.2,99.0,0.0898182069468749,0.0998746933311625
6,0.09,0.75,0.05,,dynamic_e2e_trace,310,var_0.2,99.9,0.0898182069468749,0.0999614012461899
6,0.09,0.75,0.05,,dynamic_e2e_trace,310,var_0.2,99.99,0.0898182069468749,0.0999685201185564
6,0.09,0.75,0.05,,dynamic_e2e_trace,315,var_0.2,90.0,0.0898037907997083,0.0974921502425625
6,0.09,0.75,0.05,,dynamic_e2e_trace,315,var_0.2,95.0,0.0898103649118749,0.0989929230201562
6,0.09,0.75,0.05,,dynamic_e2e_trace,315,var_0.2,99.0,0.0898110441562499,0.0999081547067999
6,0.09,0.75,0.05,,dynamic_e2e_trace,315,var_0.2,99.9,0.0898110441562499,0.0999864252083118
6,0.09,0.75,0.05,,dynamic_e2e_trace,315,var_0.2,99.99,0.0898110441562499,0.0999974198809561
6,0.09,0.75,0.05,,dynamic_e2e_trace,320,var_0.2,90.0,0.0898077714933749,0.0972584516196875
6,0.09,0.75,0.05,,dynamic_e2e_trace,320,var_0.2,95.0,0.0898110441562499,0.0989923456624374
6,0.09,0.75,0.05,,dynamic_e2e_trace,320,var_0.2,99.0,0.0898729027221666,0.0997045234792
6,0.09,0.75,0.05,,dynamic_e2e_trace,320,var_0.2,99.9,0.0898777734197916,0.099888025244105
6,0.09,0.75,0.05,,dynamic_e2e_trace,320,var_0.2,99.99,0.0898777734197916,0.099910694061848
6,0.09,0.75,0.05,,dynamic_e2e_trace,340,var_0.2,90.0,0.0898103649118749,0.0962412602911875
6,0.09,0.75,0.05,,dynamic_e2e_trace,340,var_0.2,95.0,0.0898182069468749,0.0971944063405624
6,0.09,0.75,0.05,,dynamic_e2e_trace,340,var_0.2,99.0,0.0898453284197291,0.0987607199473875
6,0.09,0.75,0.05,,dynamic_e2e_trace,340,var_0.2,99.9,0.0898477637685416,0.0990438275895037
6,0.09,0.75,0.05,,dynamic_e2e_trace,340,var_0.2,99.99,0.0898477637685416,0.0990523865061378
6,0.09,0.75,0.05,,dynamic_e2e_trace,360,var_0.2,90.0,0.089803881365625,0.0939595388193749
6,0.09,0.75,0.05,,dynamic_e2e_trace,360,var_0.2,95.0,0.0898110441562499,0.095150153215375
6,0.09,0.75,0.05,,dynamic_e2e_trace,360,var_0.2,99.0,0.0898182069468749,0.09819323744225
6,0.09,0.75,0.05,,dynamic_e2e_trace,360,var_0.2,99.9,0.0898182069468749,0.0989739605077387
6,0.09,0.75,0.05,,dynamic_e2e_trace,360,var_0.2,99.99,0.0898182069468749,0.0989855472340863
6,0.09,0.75,0.05,,dynamic_e2e_trace,380,var_0.2,90.0,0.089803881365625,0.0939595388193749
6,0.09,0.75,0.05,,dynamic_e2e_trace,380,var_0.2,95.0,0.0898110441562499,0.0939595388193749
6,0.09,0.75,0.05,,dynamic_e2e_trace,380,var_0.2,99.0,0.0898182069468749,0.0972575204569062
6,0.09,0.75,0.05,,dynamic_e2e_trace,380,var_0.2,99.9,0.0898182069468749,0.0995400277631031
6,0.09,0.75,0.05,,dynamic_e2e_trace,380,var_0.2,99.99,0.0898182069468749,0.0998823408253102
6,0.09,0.75,0.05,,dynamic_e2e_trace,400,var_0.2,90.0,0.089803881365625,0.0939562970462499
6,0.09,0.75,0.05,,dynamic_e2e_trace,400,var_0.2,95.0,0.0898110441562499,0.0939595388193749
6,0.09,0.75,0.05,,dynamic_e2e_trace,400,var_0.2,99.0,0.0898182069468749,0.0939595388193749
6,0.09,0.75,0.05,,dynamic_e2e_trace,400,var_0.2,99.9,0.0898182069468749,0.0939595388193749
