aux_scale_factor,e2e_latency,wsc_slack_ratio,temporal_rda_ratio,lateness_mode,filename,num_cores,file_suffix,confidence,ddl_percentile,rt_percentile
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,310,var_0.2,90.0,0.0819711956507499,0.090594536861875
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,310,var_0.2,95.0,0.083179487536052,0.0947619573681249
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,310,var_0.2,99.0,0.0858018143104645,0.097792051617675
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,310,var_0.2,99.9,0.0871413915371714,0.0984226894338681
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,310,var_0.2,99.99,0.0872753492598421,0.0984941409130117
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,315,var_0.2,90.0,0.0823389723689166,0.0940012127089374
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,315,var_0.2,95.0,0.0835276184022708,0.097943312300375
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,315,var_0.2,99.0,0.0861182145431124,0.0990890844885687
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,315,var_0.2,99.9,0.0864843100642487,0.0996855958342356
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,315,var_0.2,99.99,0.0865209196163623,0.099764771797611
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,320,var_0.2,90.0,0.0790455037101458,0.0841875442444375
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,320,var_0.2,95.0,0.0809555390299479,0.0884965303397499
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,320,var_0.2,99.0,0.0859242536875645,0.0902573784300812
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,320,var_0.2,99.9,0.0871941485040689,0.0904797057003093
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,320,var_0.2,99.99,0.0873211379857193,0.0904849944285308
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,340,var_0.2,90.0,0.0820493717748333,0.0717307263389999
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,340,var_0.2,95.0,0.0854296272198541,0.0771217039331875
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,340,var_0.2,99.0,0.0882920332054978,0.0821979667275437
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,340,var_0.2,99.9,0.0886662681861122,0.0823979810531249
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,340,var_0.2,99.99,0.0887036916841736,0.0823979810531249
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,360,var_0.2,90.0,0.0805924410300833,0.0519332914849375
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,360,var_0.2,95.0,0.0837978638853333,0.0535034445999375
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,360,var_0.2,99.0,0.0869735208811416,0.0576305657317311
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,360,var_0.2,99.9,0.0879333718007391,0.0578951008074999
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,360,var_0.2,99.99,0.0880293568926988,0.0578951008074999
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,380,var_0.2,90.0,0.0789422719491666,0.0402092370206249
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,380,var_0.2,95.0,0.0816515553044166,0.0422559894000937
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,380,var_0.2,99.0,0.0862489585445416,0.0499698520088874
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,380,var_0.2,99.9,0.0890156387855792,0.0504590843483905
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,380,var_0.2,99.99,0.0892923068096828,0.050507362374839
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,400,var_0.2,90.0,0.0732670846341249,0.0275098318559999
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,400,var_0.2,95.0,0.0772498027397082,0.029009831225
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,400,var_0.2,99.0,0.0828592731313083,0.03047424786645
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,400,var_0.2,99.9,0.0861758381393841,0.0308365181103424
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,400,var_0.2,99.99,0.0865434784761883,0.0308679206822217
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,405,var_0.2,90.0,0.071080361312375,0.0270497641394999
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,405,var_0.2,95.0,0.0751713554962916,0.0275457523457499
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,405,var_0.2,99.0,0.0792681073979833,0.0281024709021125
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,405,var_0.2,99.9,0.081979235766105,0.0282906619764949
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,405,var_0.2,99.99,0.0822885848091104,0.0283040924051494
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,410,var_0.2,90.0,0.0644769413281249,0.0247351154206249
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,410,var_0.2,95.0,0.0677679143309166,0.0258993880024687
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,410,var_0.2,99.0,0.0734914603971083,0.0265167686524999
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,410,var_0.2,99.9,0.0770263756276792,0.0270697114816068
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,410,var_0.2,99.99,0.0773908829568928,0.0271527496870981
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,415,var_0.2,90.0,0.0630676187416666,0.0240735754941249
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,415,var_0.2,95.0,0.0664435537393749,0.0253613970793749
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,415,var_0.2,99.0,0.0724251948467166,0.026160573855
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,415,var_0.2,99.9,0.0759847406327916,0.0265687058809424
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,415,var_0.2,99.99,0.076341415443029,0.0266299971198442
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,420,var_0.2,90.0,0.0556216515587916,0.0241501834741249
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,420,var_0.2,95.0,0.0595026080220416,0.0253045408306562
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,420,var_0.2,99.0,0.0626738228586749,0.0262766914424999
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,420,var_0.2,99.9,0.0634262091086783,0.0266462460617606
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,420,var_0.2,99.99,0.0634990397163053,0.0267017439374885
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,440,var_0.2,90.0,0.0482732378581249,0.0203876894864375
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,440,var_0.2,95.0,0.0509519686924583,0.0239002589632499
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,440,var_0.2,99.0,0.05413351946525,0.0248956827986812
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,440,var_0.2,99.9,0.0567630332004792,0.0249262571362499
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,440,var_0.2,99.99,0.0570599211262353,0.0249262571362499
6,0.09,0.75,0.05,all_soft,dynamic_e2e_trace,310,var_0.2,90.0,0.0898103649118749,0.09716054359625
6,0.09,0.75,0.05,all_soft,dynamic_e2e_trace,310,var_0.2,95.0,0.0898182069468749,0.0992709074684374
6,0.09,0.75,0.05,all_soft,dynamic_e2e_trace,310,var_0.2,99.0,0.0898828800094666,0.0998834600354937
6,0.09,0.75,0.05,all_soft,dynamic_e2e_trace,310,var_0.2,99.9,0.0899006202804166,0.0999094821447487
6,0.09,0.75,0.05,all_soft,dynamic_e2e_trace,310,var_0.2,99.99,0.0899006202804166,0.0999128397519123
6,0.09,0.75,0.05,all_soft,dynamic_e2e_trace,315,var_0.2,90.0,0.0898077714933749,0.0972584516196875
6,0.09,0.75,0.05,all_soft,dynamic_e2e_trace,315,var_0.2,95.0,0.0898110441562499,0.0996873932661874
6,0.09,0.75,0.05,all_soft,dynamic_e2e_trace,315,var_0.2,99.0,0.0898381627504625,0.0999150606300562
6,0.09,0.75,0.05,all_soft,dynamic_e2e_trace,315,var_0.2,99.9,0.0898484430129166,0.0999874708942981
6,0.09,0.75,0.05,all_soft,dynamic_e2e_trace,315,var_0.2,99.99,0.0898484430129166,0.0999981357694922
6,0.09,0.75,0.05,all_soft,dynamic_e2e_trace,320,var_0.2,90.0,0.0898107724584999,0.0968983358046875
6,0.09,0.75,0.05,all_soft,dynamic_e2e_trace,320,var_0.2,95.0,0.0898182069468749,0.0972533357795937
6,0.09,0.75,0.05,all_soft,dynamic_e2e_trace,320,var_0.2,99.0,0.0899080881165166,0.0997774389103062
6,0.09,0.75,0.05,all_soft,dynamic_e2e_trace,320,var_0.2,99.9,0.0899156251060416,0.0999094821447487
6,0.09,0.75,0.05,all_soft,dynamic_e2e_trace,320,var_0.2,99.99,0.0899156251060416,0.0999128397519123
6,0.09,0.75,0.05,all_soft,dynamic_e2e_trace,340,var_0.2,90.0,0.0898107724584999,0.0965029926116874
6,0.09,0.75,0.05,all_soft,dynamic_e2e_trace,340,var_0.2,95.0,0.0898182069468749,0.0968061425688749
6,0.09,0.75,0.05,all_soft,dynamic_e2e_trace,340,var_0.2,99.0,0.0899053477222291,0.0972531455911687
6,0.09,0.75,0.05,all_soft,dynamic_e2e_trace,340,var_0.2,99.9,0.0899077830710416,0.0972595761778156
6,0.09,0.75,0.05,all_soft,dynamic_e2e_trace,340,var_0.2,99.99,0.0899077830710416,0.097260498028969
6,0.09,0.75,0.05,all_soft,dynamic_e2e_trace,360,var_0.2,90.0,0.089803881365625,0.0939595388193749
6,0.09,0.75,0.05,all_soft,dynamic_e2e_trace,360,var_0.2,95.0,0.0898110441562499,0.0945046323310937
6,0.09,0.75,0.05,all_soft,dynamic_e2e_trace,360,var_0.2,99.0,0.0898182069468749,0.0972575204569062
6,0.09,0.75,0.05,all_soft,dynamic_e2e_trace,360,var_0.2,99.9,0.0898182069468749,0.0995338892515375
6,0.09,0.75,0.05,all_soft,dynamic_e2e_trace,360,var_0.2,99.99,0.0898182069468749,0.0998752804625912
6,0.09,0.75,0.05,all_soft,dynamic_e2e_trace,380,var_0.2,90.0,0.089803881365625,0.0939595388193749
6,0.09,0.75,0.05,all_soft,dynamic_e2e_trace,380,var_0.2,95.0,0.0898110441562499,0.0939595388193749
6,0.09,0.75,0.05,all_soft,dynamic_e2e_trace,380,var_0.2,99.0,0.0898182069468749,0.0972531455911687
6,0.09,0.75,0.05,all_soft,dynamic_e2e_trace,380,var_0.2,99.9,0.0898182069468749,0.0972595761778156
6,0.09,0.75,0.05,all_soft,dynamic_e2e_trace,380,var_0.2,99.99,0.0898182069468749,0.097260498028969
6,0.09,0.75,0.05,all_soft,dynamic_e2e_trace,400,var_0.2,90.0,0.089803881365625,0.0939562970462499
6,0.09,0.75,0.05,all_soft,dynamic_e2e_trace,400,var_0.2,95.0,0.0898110441562499,0.0939595388193749
6,0.09,0.75,0.05,all_soft,dynamic_e2e_trace,400,var_0.2,99.0,0.0898182069468749,0.0939595388193749
6,0.09,0.75,0.05,all_soft,dynamic_e2e_trace,400,var_0.2,99.9,0.0898182069468749,0.0939595388193749
6,0.09,0.75,0.05,all_soft,dynamic_e2e_trace,400,var_0.2,99.99,0.0898182069468749,0.0939595388193749
6,0.09,0.75,0.05,all_soft,dynamic_e2e_trace,405,var_0.2,90.0,0.089803881365625,0.0939562970462499
6,0.09,0.75,0.05,all_soft,dynamic_e2e_trace,405,var_0.2,95.0,0.0898110441562499,0.0939595388193749
6,0.09,0.75,0.05,all_soft,dynamic_e2e_trace,405,var_0.2,99.0,0.0898182069468749,0.0939595388193749
6,0.09,0.75,0.05,all_soft,dynamic_e2e_trace,405,var_0.2,99.9,0.0898182069468749,0.0939595388193749
6,0.09,0.75,0.05,all_soft,dynamic_e2e_trace,405,var_0.2,99.99,0.0898182069468749,0.0939595388193749
6,0.09,0.75,0.05,all_soft,dynamic_e2e_trace,410,var_0.2,90.0,0.089803881365625,0.0939562970462499
6,0.09,0.75,0.05,all_soft,dynamic_e2e_trace,410,var_0.2,95.0,0.0898110441562499,0.0939595388193749
6,0.09,0.75,0.05,all_soft,dynamic_e2e_trace,410,var_0.2,99.0,0.0898182069468749,0.0939595388193749
6,0.09,0.75,0.05,all_soft,dynamic_e2e_trace,410,var_0.2,99.9,0.0898182069468749,0.0939595388193749
6,0.09,0.75,0.05,all_soft,dynamic_e2e_trace,410,var_0.2,99.99,0.0898182069468749,0.0939595388193749
6,0.09,0.75,0.05,all_soft,dynamic_e2e_trace,415,var_0.2,90.0,0.089803881365625,0.0939562970462499
6,0.09,0.75,0.05,all_soft,dynamic_e2e_trace,415,var_0.2,95.0,0.0898110441562499,0.0939595388193749
6,0.09,0.75,0.05,all_soft,dynamic_e2e_trace,415,var_0.2,99.0,0.0898182069468749,0.0939595388193749
6,0.09,0.75,0.05,all_soft,dynamic_e2e_trace,415,var_0.2,99.9,0.0898182069468749,0.0939595388193749
6,0.09,0.75,0.05,all_soft,dynamic_e2e_trace,415,var_0.2,99.99,0.0898182069468749,0.0939595388193749
6,0.09,0.75,0.05,all_soft,dynamic_e2e_trace,420,var_0.2,90.0,0.089803881365625,0.0939562970462499
6,0.09,0.75,0.05,all_soft,dynamic_e2e_trace,420,var_0.2,95.0,0.0898110441562499,0.0939595388193749
6,0.09,0.75,0.05,all_soft,dynamic_e2e_trace,420,var_0.2,99.0,0.0898182069468749,0.0939595388193749
6,0.09,0.75,0.05,all_soft,dynamic_e2e_trace,420,var_0.2,99.9,0.0898182069468749,0.0939595388193749
6,0.09,0.75,0.05,all_soft,dynamic_e2e_trace,420,var_0.2,99.99,0.0898182069468749,0.0939595388193749
6,0.09,0.75,0.05,all_soft,dynamic_e2e_trace,440,var_0.2,90.0,0.089803881365625,0.0939562970462499
6,0.09,0.75,0.05,all_soft,dynamic_e2e_trace,440,var_0.2,95.0,0.0898110441562499,0.0939595388193749
6,0.09,0.75,0.05,all_soft,dynamic_e2e_trace,440,var_0.2,99.0,0.0898182069468749,0.0939595388193749
6,0.09,0.75,0.05,all_soft,dynamic_e2e_trace,440,var_0.2,99.9,0.0898182069468749,0.0939595388193749
6,0.09,0.75,0.05,all_soft,dynamic_e2e_trace,440,var_0.2,99.99,0.0898182069468749,0.0939595388193749
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,310,,90.0,0.0817342778962291,0.0917189787313749
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,310,,95.0,0.0840602071313958,0.0961434834666562
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,310,,99.0,0.0862232483224874,0.0976482856253499
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,310,,99.9,0.0871700305953112,0.0979579852262499
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,310,,99.99,0.0872647088225936,0.0979579852262499
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,315,,90.0,0.0789478138532291,0.0852170636107499
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,315,,95.0,0.0807767135055624,0.0882632053012811
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,315,,99.0,0.0857527485306708,0.0920904982138499
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,315,,99.9,0.0870284502146921,0.0927083669234362
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,315,,99.99,0.0871560203830941,0.092774025039406
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,320,,90.0,0.0767757338821875,0.080173105035125
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,320,,95.0,0.0807492226776041,0.0838136863508437
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,320,,99.0,0.0860420415687208,0.0885727668943249
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,320,,99.9,0.0873409707228096,0.089280829610743
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,320,,99.99,0.0874708636382184,0.0893522810898867
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,340,,90.0,0.0292439523135416,0.0178507655749999
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,340,,95.0,0.0353903883898958,0.0178689936564062
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,340,,99.0,0.0393046516687374,0.0178926228605437
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,340,,99.9,0.0393110900326687,0.0178990534471906
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,340,,99.99,0.0393118765070793,0.017899975298344
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,360,,90.0,0.0272633153310416,0.0166323058098124
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,360,,95.0,0.0337863725305833,0.0166475144087499
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,360,,99.0,0.0376991353268624,0.0166622271592937
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,360,,99.9,0.0377055736907937,0.0166686577459406
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,360,,99.99,0.0377063601652043,0.016669579597094
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,380,,90.0,0.0263330161422916,0.0155795474811249
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,380,,95.0,0.0323609140962083,0.0155964973706249
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,380,,99.0,0.0362736768924875,0.0156131842313124
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,380,,99.9,0.0362801152564187,0.0156193442312499
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,380,,99.99,0.0362809017308293,0.0156193442312499
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,400,,90.0,0.0255077507329166,0.0146718913796874
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,400,,95.0,0.0310704990924582,0.014681882251875
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,400,,99.0,0.0349832618887374,0.0146965950024187
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,400,,99.9,0.0349897002526687,0.0147030255890656
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,400,,99.99,0.0349904867270793,0.014703947440219
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,405,,90.0,0.0253276928254166,0.0144391807336249
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,405,,95.0,0.0307787880104583,0.0144628982395312
6,0.09,0.75,0.05,all_soft,glb_dyn_e2e_trace,405,,99.0,0.0346962140110749,0.0144758974837812
